system:index,Province,St_Ele,St_ID,St_Lat,St_Lon,St_Name,date,mean,.geo
2010_08_01_0000000000000000000a,Mazandaran,1855.4,40735,36.231,51.303,Siahbisheh,2010-08,0.2399,"{""type"":""Point"",""coordinates"":[51.303001049541336,36.23099869743738]}"
2010_08_01_0000000000000000000b,Mazandaran,-21.0,40736,36.699,52.643,Babolsar,2010-08,0.1826,"{""type"":""Point"",""coordinates"":[52.6430010480113,36.69899918940074]}"
2010_08_01_0000000000000000000c,Mazandaran,-20.9,40734,36.661,51.466,Nowshahr,2010-08,0.3567,"{""type"":""Point"",""coordinates"":[51.465999029448994,36.66099873022328]}"
2010_08_01_0000000000000000000d,Mazandaran,-20.0,40732,36.905,50.684,Ramsar,2010-08,0.0195,"{""type"":""Point"",""coordinates"":[50.684002018605135,36.90500073986783]}"
2010_08_01_0000000000000000000e,Mazandaran,16.7,40788,36.64,53.195,Sari (dasht-e-naz airport),2010-08,0.2937,"{""type"":""Point"",""coordinates"":[53.195002085619485,36.6400008233626]}"
2010_08_01_0000000000000000000f,Gilan,-23.6,40718,37.48,49.458,Bandar-e-anzali,2010-08,0.006200000000000001,"{""type"":""Point"",""coordinates"":[49.45799893856652,37.48000182070969]}"
2010_08_01_00000000000000000010,Gilan,1581.4,40805,36.708,49.802,Jirandeh,2010-08,0.1353,"{""type"":""Point"",""coordinates"":[49.80200074843565,36.70800211442765]}"
2010_08_01_00000000000000000011,Gilan,-22.0,99268,37.417,49.883,Kiyashahr,2010-08,0.4379,"{""type"":""Point"",""coordinates"":[49.883000319071506,37.41699918192554]}"
2010_08_01_00000000000000000012,Gilan,34.2,99276,37.194,50.016,Lahijan,2010-08,0.3413,"{""type"":""Point"",""coordinates"":[50.01600192619263,37.193999538242714]}"
2010_08_01_00000000000000000013,Gilan,338.3,40720,36.729,49.41,Manjil,2010-08,0.11750000000000001,"{""type"":""Point"",""coordinates"":[49.41000117482722,36.72900002128832]}"
2010_08_01_00000000000000000014,Gilan,1081.0,99281,37.15,48.983,Masuleh,2010-08,0.4107,"{""type"":""Point"",""coordinates"":[48.9830021170503,37.15000158814836]}"
2010_08_01_00000000000000000015,Gilan,24.8,99272,37.203,49.645,Rasht (agricultulal),2010-08,0.3317,"{""type"":""Point"",""coordinates"":[49.645000259444885,37.20299800416857]}"
2010_08_01_00000000000000000016,Gilan,-21.1,40709,38.365,48.855,Astara,2010-08,0.339,"{""type"":""Point"",""coordinates"":[48.85499916221009,38.36499960678709]}"
2010_08_01_00000000000000000017,Gilan,7.0,99249,37.839,48.897,Talesh,2010-08,0.4567,"{""type"":""Point"",""coordinates"":[48.89699943503249,37.838999587421554]}"
2010_08_01_00000000000000000018,Gilan,-8.6,40719,37.323,49.624,Rasht,2010-08,0.2772,"{""type"":""Point"",""coordinates"":[49.62399789348315,37.32300133171889]}"
2010_09_01_00000000000000000000,Mazandaran,23.0,40759,36.536,52.998,Sari,2010-09,0.24930000000000002,"{""type"":""Point"",""coordinates"":[52.997999001078234,36.53600120949307]}"
2010_09_01_00000000000000000001,Mazandaran,-20.0,99306,36.856,53.386,Bandar-e-amirabad,2010-09,0.113,"{""type"":""Point"",""coordinates"":[53.38599876104172,36.85599967839152]}"
2010_09_01_00000000000000000002,Mazandaran,2120.0,99357,36.198,51.801,Baladeh,2010-09,0.1656,"{""type"":""Point"",""coordinates"":[51.80099791429122,36.198001349641885]}"
2010_09_01_00000000000000000003,Mazandaran,-10.0,99299,36.738,53.837,Galugah,2010-09,0.34890000000000004,"{""type"":""Point"",""coordinates"":[53.83700115978934,36.73799848721418]}"
2010_09_01_00000000000000000004,Mazandaran,14.7,40737,36.487,52.108,Gharakhil,2010-09,0.31320000000000003,"{""type"":""Point"",""coordinates"":[52.10799810361887,36.48700014801676]}"
2010_09_01_00000000000000000005,Mazandaran,1294.3,40760,36.248,53.546,Kiyasar,2010-09,0.1458,"{""type"":""Point"",""coordinates"":[53.54600022504147,36.24800124975417]}"
2010_09_01_00000000000000000006,Mazandaran,1805.0,99361,36.071,52.843,Alasht,2010-09,0.194,"{""type"":""Point"",""coordinates"":[52.84300064846047,36.07100169253869]}"
2010_09_01_00000000000000000007,Mazandaran,23.7,99309,36.479,52.468,Amol,2010-09,0.3277,"{""type"":""Point"",""coordinates"":[52.46799916806776,36.479000520726885]}"
2010_09_01_00000000000000000008,Mazandaran,1550.0,99348,36.39,51.729,Kojur,2010-09,0.2013,"{""type"":""Point"",""coordinates"":[51.729001268682296,36.390001322801155]}"
2010_09_01_00000000000000000009,Mazandaran,610.0,99360,36.104,53.062,Polsefid,2010-09,0.2268,"{""type"":""Point"",""coordinates"":[53.06200047849835,36.103999040334195]}"
2010_09_01_0000000000000000000a,Mazandaran,1855.4,40735,36.231,51.303,Siahbisheh,2010-09,0.20520000000000002,"{""type"":""Point"",""coordinates"":[51.303001049541336,36.23099869743738]}"
2010_09_01_0000000000000000000b,Mazandaran,-21.0,40736,36.699,52.643,Babolsar,2010-09,0.2001,"{""type"":""Point"",""coordinates"":[52.6430010480113,36.69899918940074]}"
2010_09_01_0000000000000000000c,Mazandaran,-20.9,40734,36.661,51.466,Nowshahr,2010-09,0.3871,"{""type"":""Point"",""coordinates"":[51.465999029448994,36.66099873022328]}"
2010_09_01_0000000000000000000d,Mazandaran,-20.0,40732,36.905,50.684,Ramsar,2010-09,0.2044,"{""type"":""Point"",""coordinates"":[50.684002018605135,36.90500073986783]}"
2010_09_01_0000000000000000000e,Mazandaran,16.7,40788,36.64,53.195,Sari (dasht-e-naz airport),2010-09,0.2233,"{""type"":""Point"",""coordinates"":[53.195002085619485,36.6400008233626]}"
2010_09_01_0000000000000000000f,Gilan,-23.6,40718,37.48,49.458,Bandar-e-anzali,2010-09,-0.0125,"{""type"":""Point"",""coordinates"":[49.45799893856652,37.48000182070969]}"
2010_09_01_00000000000000000010,Gilan,1581.4,40805,36.708,49.802,Jirandeh,2010-09,0.1163,"{""type"":""Point"",""coordinates"":[49.80200074843565,36.70800211442765]}"
2010_09_01_00000000000000000011,Gilan,-22.0,99268,37.417,49.883,Kiyashahr,2010-09,0.377,"{""type"":""Point"",""coordinates"":[49.883000319071506,37.41699918192554]}"
2010_09_01_00000000000000000012,Gilan,34.2,99276,37.194,50.016,Lahijan,2010-09,0.3559,"{""type"":""Point"",""coordinates"":[50.01600192619263,37.193999538242714]}"
2010_09_01_00000000000000000013,Gilan,338.3,40720,36.729,49.41,Manjil,2010-09,0.1032,"{""type"":""Point"",""coordinates"":[49.41000117482722,36.72900002128832]}"
2010_09_01_00000000000000000014,Gilan,1081.0,99281,37.15,48.983,Masuleh,2010-09,0.32230000000000003,"{""type"":""Point"",""coordinates"":[48.9830021170503,37.15000158814836]}"
2010_09_01_00000000000000000015,Gilan,24.8,99272,37.203,49.645,Rasht (agricultulal),2010-09,0.33140000000000003,"{""type"":""Point"",""coordinates"":[49.645000259444885,37.20299800416857]}"
2010_09_01_00000000000000000016,Gilan,-21.1,40709,38.365,48.855,Astara,2010-09,0.3005,"{""type"":""Point"",""coordinates"":[48.85499916221009,38.36499960678709]}"
2010_09_01_00000000000000000017,Gilan,7.0,99249,37.839,48.897,Talesh,2010-09,0.4801,"{""type"":""Point"",""coordinates"":[48.89699943503249,37.838999587421554]}"
2010_09_01_00000000000000000018,Gilan,-8.6,40719,37.323,49.624,Rasht,2010-09,0.3141,"{""type"":""Point"",""coordinates"":[49.62399789348315,37.32300133171889]}"
2010_10_01_00000000000000000000,Mazandaran,23.0,40759,36.536,52.998,Sari,2010-10,0.2199,"{""type"":""Point"",""coordinates"":[52.997999001078234,36.53600120949307]}"
2010_10_01_00000000000000000001,Mazandaran,-20.0,99306,36.856,53.386,Bandar-e-amirabad,2010-10,0.11380000000000001,"{""type"":""Point"",""coordinates"":[53.38599876104172,36.85599967839152]}"
2010_10_01_00000000000000000002,Mazandaran,2120.0,99357,36.198,51.801,Baladeh,2010-10,0.1403,"{""type"":""Point"",""coordinates"":[51.80099791429122,36.198001349641885]}"
2010_10_01_00000000000000000003,Mazandaran,-10.0,99299,36.738,53.837,Galugah,2010-10,0.2189,"{""type"":""Point"",""coordinates"":[53.83700115978934,36.73799848721418]}"
2010_10_01_00000000000000000004,Mazandaran,14.7,40737,36.487,52.108,Gharakhil,2010-10,0.29910000000000003,"{""type"":""Point"",""coordinates"":[52.10799810361887,36.48700014801676]}"
2010_10_01_00000000000000000005,Mazandaran,1294.3,40760,36.248,53.546,Kiyasar,2010-10,0.1272,"{""type"":""Point"",""coordinates"":[53.54600022504147,36.24800124975417]}"
2010_10_01_00000000000000000006,Mazandaran,1805.0,99361,36.071,52.843,Alasht,2010-10,0.1738,"{""type"":""Point"",""coordinates"":[52.84300064846047,36.07100169253869]}"
2010_10_01_00000000000000000007,Mazandaran,23.7,99309,36.479,52.468,Amol,2010-10,0.3342,"{""type"":""Point"",""coordinates"":[52.46799916806776,36.479000520726885]}"
2010_10_01_00000000000000000008,Mazandaran,1550.0,99348,36.39,51.729,Kojur,2010-10,0.1701,"{""type"":""Point"",""coordinates"":[51.729001268682296,36.390001322801155]}"
2010_10_01_00000000000000000009,Mazandaran,610.0,99360,36.104,53.062,Polsefid,2010-10,0.23290000000000002,"{""type"":""Point"",""coordinates"":[53.06200047849835,36.103999040334195]}"
2010_10_01_0000000000000000000a,Mazandaran,1855.4,40735,36.231,51.303,Siahbisheh,2010-10,0.14070000000000002,"{""type"":""Point"",""coordinates"":[51.303001049541336,36.23099869743738]}"
2010_10_01_0000000000000000000b,Mazandaran,-21.0,40736,36.699,52.643,Babolsar,2010-10,0.1559,"{""type"":""Point"",""coordinates"":[52.6430010480113,36.69899918940074]}"
2010_10_01_0000000000000000000c,Mazandaran,-20.9,40734,36.661,51.466,Nowshahr,2010-10,0.3301,"{""type"":""Point"",""coordinates"":[51.465999029448994,36.66099873022328]}"
2010_10_01_0000000000000000000d,Mazandaran,-20.0,40732,36.905,50.684,Ramsar,2010-10,0.056,"{""type"":""Point"",""coordinates"":[50.684002018605135,36.90500073986783]}"
2010_10_01_0000000000000000000e,Mazandaran,16.7,40788,36.64,53.195,Sari (dasht-e-naz airport),2010-10,0.1918,"{""type"":""Point"",""coordinates"":[53.195002085619485,36.6400008233626]}"
2010_10_01_0000000000000000000f,Gilan,-23.6,40718,37.48,49.458,Bandar-e-anzali,2010-10,0.0112,"{""type"":""Point"",""coordinates"":[49.45799893856652,37.48000182070969]}"
2010_10_01_00000000000000000010,Gilan,1581.4,40805,36.708,49.802,Jirandeh,2010-10,0.10940000000000001,"{""type"":""Point"",""coordinates"":[49.80200074843565,36.70800211442765]}"
2010_10_01_00000000000000000011,Gilan,-22.0,99268,37.417,49.883,Kiyashahr,2010-10,0.4057,"{""type"":""Point"",""coordinates"":[49.883000319071506,37.41699918192554]}"
2010_10_01_00000000000000000012,Gilan,34.2,99276,37.194,50.016,Lahijan,2010-10,0.4429,"{""type"":""Point"",""coordinates"":[50.01600192619263,37.193999538242714]}"
2010_10_01_00000000000000000013,Gilan,338.3,40720,36.729,49.41,Manjil,2010-10,0.0979,"{""type"":""Point"",""coordinates"":[49.41000117482722,36.72900002128832]}"
2010_10_01_00000000000000000014,Gilan,1081.0,99281,37.15,48.983,Masuleh,2010-10,0.3411,"{""type"":""Point"",""coordinates"":[48.9830021170503,37.15000158814836]}"
2010_10_01_00000000000000000015,Gilan,24.8,99272,37.203,49.645,Rasht (agricultulal),2010-10,0.3055,"{""type"":""Point"",""coordinates"":[49.645000259444885,37.20299800416857]}"
2010_10_01_00000000000000000016,Gilan,-21.1,40709,38.365,48.855,Astara,2010-10,0.26630000000000004,"{""type"":""Point"",""coordinates"":[48.85499916221009,38.36499960678709]}"
2010_10_01_00000000000000000017,Gilan,7.0,99249,37.839,48.897,Talesh,2010-10,0.37360000000000004,"{""type"":""Point"",""coordinates"":[48.89699943503249,37.838999587421554]}"
2010_10_01_00000000000000000018,Gilan,-8.6,40719,37.323,49.624,Rasht,2010-10,0.3241,"{""type"":""Point"",""coordinates"":[49.62399789348315,37.32300133171889]}"
2010_11_01_00000000000000000000,Mazandaran,23.0,40759,36.536,52.998,Sari,2010-11,0.24080000000000001,"{""type"":""Point"",""coordinates"":[52.997999001078234,36.53600120949307]}"
2010_11_01_00000000000000000001,Mazandaran,-20.0,99306,36.856,53.386,Bandar-e-amirabad,2010-11,0.1173,"{""type"":""Point"",""coordinates"":[53.38599876104172,36.85599967839152]}"
2010_11_01_00000000000000000002,Mazandaran,2120.0,99357,36.198,51.801,Baladeh,2010-11,0.099,"{""type"":""Point"",""coordinates"":[51.80099791429122,36.198001349641885]}"
2010_11_01_00000000000000000003,Mazandaran,-10.0,99299,36.738,53.837,Galugah,2010-11,0.16440000000000002,"{""type"":""Point"",""coordinates"":[53.83700115978934,36.73799848721418]}"
2010_11_01_00000000000000000004,Mazandaran,14.7,40737,36.487,52.108,Gharakhil,2010-11,0.30970000000000003,"{""type"":""Point"",""coordinates"":[52.10799810361887,36.48700014801676]}"
2010_11_01_00000000000000000005,Mazandaran,1294.3,40760,36.248,53.546,Kiyasar,2010-11,0.1335,"{""type"":""Point"",""coordinates"":[53.54600022504147,36.24800124975417]}"
2010_11_01_00000000000000000006,Mazandaran,1805.0,99361,36.071,52.843,Alasht,2010-11,0.13490000000000002,"{""type"":""Point"",""coordinates"":[52.84300064846047,36.07100169253869]}"
2010_11_01_00000000000000000007,Mazandaran,23.7,99309,36.479,52.468,Amol,2010-11,0.2967,"{""type"":""Point"",""coordinates"":[52.46799916806776,36.479000520726885]}"
2010_11_01_00000000000000000008,Mazandaran,1550.0,99348,36.39,51.729,Kojur,2010-11,0.16040000000000001,"{""type"":""Point"",""coordinates"":[51.729001268682296,36.390001322801155]}"
2010_11_01_00000000000000000009,Mazandaran,610.0,99360,36.104,53.062,Polsefid,2010-11,0.24960000000000002,"{""type"":""Point"",""coordinates"":[53.06200047849835,36.103999040334195]}"
2010_11_01_0000000000000000000a,Mazandaran,1855.4,40735,36.231,51.303,Siahbisheh,2010-11,0.1102,"{""type"":""Point"",""coordinates"":[51.303001049541336,36.23099869743738]}"
2010_11_01_0000000000000000000b,Mazandaran,-21.0,40736,36.699,52.643,Babolsar,2010-11,0.17400000000000002,"{""type"":""Point"",""coordinates"":[52.6430010480113,36.69899918940074]}"
2010_11_01_0000000000000000000c,Mazandaran,-20.9,40734,36.661,51.466,Nowshahr,2010-11,0.274,"{""type"":""Point"",""coordinates"":[51.465999029448994,36.66099873022328]}"
2010_11_01_0000000000000000000d,Mazandaran,-20.0,40732,36.905,50.684,Ramsar,2010-11,0.18430000000000002,"{""type"":""Point"",""coordinates"":[50.684002018605135,36.90500073986783]}"
2010_11_01_0000000000000000000e,Mazandaran,16.7,40788,36.64,53.195,Sari (dasht-e-naz airport),2010-11,0.1943,"{""type"":""Point"",""coordinates"":[53.195002085619485,36.6400008233626]}"
2010_11_01_0000000000000000000f,Gilan,-23.6,40718,37.48,49.458,Bandar-e-anzali,2010-11,0.0763,"{""type"":""Point"",""coordinates"":[49.45799893856652,37.48000182070969]}"
2010_11_01_00000000000000000010,Gilan,1581.4,40805,36.708,49.802,Jirandeh,2010-11,0.0976,"{""type"":""Point"",""coordinates"":[49.80200074843565,36.70800211442765]}"
2010_11_01_00000000000000000011,Gilan,-22.0,99268,37.417,49.883,Kiyashahr,2010-11,0.28750000000000003,"{""type"":""Point"",""coordinates"":[49.883000319071506,37.41699918192554]}"
2010_11_01_00000000000000000012,Gilan,34.2,99276,37.194,50.016,Lahijan,2010-11,0.41000000000000003,"{""type"":""Point"",""coordinates"":[50.01600192619263,37.193999538242714]}"
2010_11_01_00000000000000000013,Gilan,338.3,40720,36.729,49.41,Manjil,2010-11,0.1019,"{""type"":""Point"",""coordinates"":[49.41000117482722,36.72900002128832]}"
2010_11_01_00000000000000000014,Gilan,1081.0,99281,37.15,48.983,Masuleh,2010-11,0.2932,"{""type"":""Point"",""coordinates"":[48.9830021170503,37.15000158814836]}"
2010_11_01_00000000000000000015,Gilan,24.8,99272,37.203,49.645,Rasht (agricultulal),2010-11,0.3139,"{""type"":""Point"",""coordinates"":[49.645000259444885,37.20299800416857]}"
2010_11_01_00000000000000000016,Gilan,-21.1,40709,38.365,48.855,Astara,2010-11,0.2303,"{""type"":""Point"",""coordinates"":[48.85499916221009,38.36499960678709]}"
2010_11_01_00000000000000000017,Gilan,7.0,99249,37.839,48.897,Talesh,2010-11,0.364,"{""type"":""Point"",""coordinates"":[48.89699943503249,37.838999587421554]}"
2010_11_01_00000000000000000018,Gilan,-8.6,40719,37.323,49.624,Rasht,2010-11,0.2674,"{""type"":""Point"",""coordinates"":[49.62399789348315,37.32300133171889]}"
2010_12_01_00000000000000000000,Mazandaran,23.0,40759,36.536,52.998,Sari,2010-12,0.1922,"{""type"":""Point"",""coordinates"":[52.997999001078234,36.53600120949307]}"
2010_12_01_00000000000000000001,Mazandaran,-20.0,99306,36.856,53.386,Bandar-e-amirabad,2010-12,0.1279,"{""type"":""Point"",""coordinates"":[53.38599876104172,36.85599967839152]}"
2010_12_01_00000000000000000002,Mazandaran,2120.0,99357,36.198,51.801,Baladeh,2010-12,0.10070000000000001,"{""type"":""Point"",""coordinates"":[51.80099791429122,36.198001349641885]}"
2010_12_01_00000000000000000003,Mazandaran,-10.0,99299,36.738,53.837,Galugah,2010-12,0.16720000000000002,"{""type"":""Point"",""coordinates"":[53.83700115978934,36.73799848721418]}"
2010_12_01_00000000000000000004,Mazandaran,14.7,40737,36.487,52.108,Gharakhil,2010-12,0.2442,"{""type"":""Point"",""coordinates"":[52.10799810361887,36.48700014801676]}"
2010_12_01_00000000000000000005,Mazandaran,1294.3,40760,36.248,53.546,Kiyasar,2010-12,0.10890000000000001,"{""type"":""Point"",""coordinates"":[53.54600022504147,36.24800124975417]}"
2010_12_01_00000000000000000006,Mazandaran,1805.0,99361,36.071,52.843,Alasht,2010-12,0.12710000000000002,"{""type"":""Point"",""coordinates"":[52.84300064846047,36.07100169253869]}"
2010_12_01_00000000000000000007,Mazandaran,23.7,99309,36.479,52.468,Amol,2010-12,0.2144,"{""type"":""Point"",""coordinates"":[52.46799916806776,36.479000520726885]}"
2010_12_01_00000000000000000008,Mazandaran,1550.0,99348,36.39,51.729,Kojur,2010-12,0.1313,"{""type"":""Point"",""coordinates"":[51.729001268682296,36.390001322801155]}"
2010_12_01_00000000000000000009,Mazandaran,610.0,99360,36.104,53.062,Polsefid,2010-12,0.1625,"{""type"":""Point"",""coordinates"":[53.06200047849835,36.103999040334195]}"
2010_12_01_0000000000000000000a,Mazandaran,1855.4,40735,36.231,51.303,Siahbisheh,2010-12,0.1062,"{""type"":""Point"",""coordinates"":[51.303001049541336,36.23099869743738]}"
2010_12_01_0000000000000000000b,Mazandaran,-21.0,40736,36.699,52.643,Babolsar,2010-12,0.1345,"{""type"":""Point"",""coordinates"":[52.6430010480113,36.69899918940074]}"
2010_12_01_0000000000000000000c,Mazandaran,-20.9,40734,36.661,51.466,Nowshahr,2010-12,0.22590000000000002,"{""type"":""Point"",""coordinates"":[51.465999029448994,36.66099873022328]}"
2010_12_01_0000000000000000000d,Mazandaran,-20.0,40732,36.905,50.684,Ramsar,2010-12,0.16290000000000002,"{""type"":""Point"",""coordinates"":[50.684002018605135,36.90500073986783]}"
2010_12_01_0000000000000000000e,Mazandaran,16.7,40788,36.64,53.195,Sari (dasht-e-naz airport),2010-12,0.17270000000000002,"{""type"":""Point"",""coordinates"":[53.195002085619485,36.6400008233626]}"
2010_12_01_0000000000000000000f,Gilan,-23.6,40718,37.48,49.458,Bandar-e-anzali,2010-12,0.0502,"{""type"":""Point"",""coordinates"":[49.45799893856652,37.48000182070969]}"
2010_12_01_00000000000000000010,Gilan,1581.4,40805,36.708,49.802,Jirandeh,2010-12,0.10200000000000001,"{""type"":""Point"",""coordinates"":[49.80200074843565,36.70800211442765]}"
2010_12_01_00000000000000000011,Gilan,-22.0,99268,37.417,49.883,Kiyashahr,2010-12,0.2872,"{""type"":""Point"",""coordinates"":[49.883000319071506,37.41699918192554]}"
2010_12_01_00000000000000000012,Gilan,34.2,99276,37.194,50.016,Lahijan,2010-12,0.3383,"{""type"":""Point"",""coordinates"":[50.01600192619263,37.193999538242714]}"
2010_12_01_00000000000000000013,Gilan,338.3,40720,36.729,49.41,Manjil,2010-12,0.10600000000000001,"{""type"":""Point"",""coordinates"":[49.41000117482722,36.72900002128832]}"
2010_12_01_00000000000000000014,Gilan,1081.0,99281,37.15,48.983,Masuleh,2010-12,0.19940000000000002,"{""type"":""Point"",""coordinates"":[48.9830021170503,37.15000158814836]}"
